id,name,type,description,link
1,GitHub,website,My GitHub repository,https://github.com/thekangaroofactory
2,Stackoverflow,website,My Stackoverflow profile,https://stackoverflow.com/users/23413738/thekangaroofactory
3,Coursera,website,My Coursera profile,https://www.coursera.org/learner/philippe-peret
4,Bēhance,website,My Behance profile,https://www.behance.net/philippe-peret
5,Data.gouv.fr,website,My Data.gouv.fr profile,https://www.data.gouv.fr/fr/organizations/philippe-peret
6,YouTube,website,My YouTube channel,https://www.youtube.com/@TheKangarooFactory
